,rssi.242,rssi.94,rssi.h,rssi.245,outcome
642,-66,-76,-85,-88,9
643,-66,-76,-88,-89,9
644,-65,-77,-86,-89,9
645,-67,-76,-83,-87,9
646,-67,-76,-86,-87,9
647,-67,-77,-91,-88,9
648,-67,-76,-90,-89,9
649,-66,-76,-90,-89,9
650,-66,-78,-86,-88,9
651,-66,-77,-88,-86,9
652,-66,-78,-87,-87,9
653,-67,-76,-87,-88,9
654,-66,-77,-90,-87,9
655,-66,-76,-87,-86,9
656,-66,-77,-85,-87,9
657,-66,-76,-86,-88,9
658,-66,-77,-89,-87,9
659,-66,-78,-87,-86,9
660,-66,-78,-89,-87,9
661,-67,-77,-92,-89,9
662,-67,-77,-90,-87,9
663,-67,-82,-88,-89,9
664,-67,-77,-90,-89,9
665,-67,-77,-91,-89,9
666,-67,-77,-89,-86,9
667,-67,-77,-90,-87,9
668,-67,-77,-91,-87,9
669,-67,-76,-91,-85,9
670,-67,-76,-89,-86,9
671,-67,-76,-89,-86,9
672,-67,-77,-89,-89,9
673,-67,-77,-91,-85,9
674,-65,-76,-90,-87,9
675,-65,-76,-89,-87,9
676,-66,-77,-88,-86,9
677,-64,-77,-89,-91,9
678,-65,-76,-89,-90,9
679,-65,-78,-89,-87,9
680,-68,-64,-69,-87,10
681,-69,-63,-67,-80,10
682,-72,-63,-68,-88,10
683,-66,-65,-67,-80,10
684,-66,-66,-67,-77,10
685,-65,-68,-66,-75,10
686,-64,-70,-67,-78,10
687,-65,-74,-67,-75,10
688,-65,-73,-67,-75,10
689,-66,-75,-67,-74,10
690,-67,-72,-67,-74,10
691,-67,-71,-67,-74,10
692,-66,-67,-67,-77,10
693,-65,-66,-71,-80,10
694,-66,-68,-69,-75,10
695,-64,-67,-66,-77,10
696,-70,-79,-64,-76,10
697,-70,-76,-67,-75,10
698,-64,-79,-65,-77,10
699,-82,-73,-67,-77,10
700,-83,-75,-65,-78,10
701,-76,-74,-64,-80,10
702,-70,-73,-64,-78,10
703,-70,-71,-64,-76,10
704,-70,-70,-62,-78,10
705,-65,-67,-66,-86,10
706,-72,-72,-64,-78,10
707,-65,-70,-67,-76,10
708,-64,-68,-68,-79,10
709,-69,-68,-68,-78,10
710,-73,-75,-65,-82,10
711,-67,-75,-67,-77,10
712,-67,-73,-68,-79,10
713,-66,-74,-67,-77,10
714,-65,-68,-66,-76,10
715,-67,-67,-68,-82,10
716,-67,-67,-69,-82,10
717,-63,-69,-68,-78,10
718,-64,-72,-72,-85,10
719,-63,-80,-68,-76,10
720,-66,-66,-68,-76,10
721,-64,-66,-69,-77,10
722,-65,-71,-67,-76,10
723,-65,-69,-70,-79,10
724,-61,-70,-75,-79,10
725,-60,-68,-76,-91,10
726,-62,-67,-76,-87,10
727,-63,-69,-79,-79,10
728,-63,-71,-73,-82,10
729,-62,-68,-90,-76,10
730,-60,-68,-74,-84,10
731,-62,-69,-72,-78,10
732,-62,-68,-78,-80,10
733,-64,-70,-76,-80,10
734,-63,-70,-79,-81,10
735,-65,-70,-73,-84,10
736,-67,-72,-74,-85,10
737,-67,-69,-88,-86,10
738,-64,-69,-77,-80,10
739,-64,-69,-70,-79,10
740,-63,-69,-73,-79,10
741,-65,-69,-79,-79,10
742,-72,-71,-71,-77,10
743,-64,-68,-78,-79,10
744,-62,-70,-76,-78,10
745,-65,-69,-82,-79,10
746,-63,-70,-77,-79,10
747,-64,-71,-78,-78,10
748,-63,-73,-76,-78,10
749,-65,-68,-77,-79,10
750,-66,-70,-87,-77,10
751,-67,-70,-80,-78,10
752,-66,-70,-82,-79,10
753,-63,-70,-82,-79,10
